DATE,peak_demand,day_of_week,year,is_weekend,feelslike,precip,windspeed,winddir,sea level pressure,visibility,solarenergy,uvindex,moonphase,lagging_average,previous_difference,relative_humidity,month_cyclic,windchill
2018-01-07 00:00:00,4016,6,2018,TRUE,11.7,0,20.5,270.5,1014.9,1.5,15.1,7,0.67,4145.428571,-143,70.03622268,0.5,9.983976061
2018-01-08 00:00:00,4290,0,2018,FALSE,12,0,13,265.6,1016.8,1.4,15.2,7,0.71,4180.857143,274,66.32639835,0.5,10.97677177
2018-01-09 00:00:00,4225,1,2018,FALSE,12.6,0,16.6,274.5,1018.8,1.4,15.3,7,0.75,4210,-65,69.1818091,0.5,10.95927406
2018-01-10 00:00:00,4241,2,2018,FALSE,13.4,0,23,269.7,1018.4,1.6,15.4,7,0.77,4209.714286,16,63.97226888,0.5,11.9557052
2018-01-11 00:00:00,4205,3,2018,FALSE,13.4,0,22.2,270.7,1016.9,1.8,15.3,7,0.81,4228.571429,-36,63.10163105,0.5,12.01072522
2018-01-12 00:00:00,4233,4,2018,FALSE,14.5,0,15,267.3,1015.8,1.9,14.9,7,0.84,4195.571429,28,59.91695968,0.5,13.58605565
2018-01-13 00:00:00,3959,5,2018,TRUE,14.3,0,17.3,289.2,1016.1,1.8,15.6,7,0.87,4167,-274,60.67199563,0.5,13.01317749
2018-01-14 00:00:00,3960,6,2018,TRUE,14.2,0,16.6,267.1,1016,2,15.6,7,0.91,4159,1,58.21878436,0.5,13.07242115
2018-01-15 00:00:00,3999,0,2018,FALSE,13.8,0,22.4,279.7,1016.1,1.6,15.8,7,0.94,4117.428571,39,66.21696736,0.5,12.12417129
2018-01-16 00:00:00,3910,1,2018,FALSE,14.8,0,14.8,275.3,1013.6,2.2,16.1,7,0.97,4072.428571,-89,54.55981383,0.5,14.34355357
2018-01-17 00:00:00,4041,2,2018,FALSE,14.2,0,14.8,113.4,1014.6,1.4,15.6,7,0,4043.857143,131,67.22988501,0.5,13.35817912
2018-01-18 00:00:00,3969,3,2018,FALSE,16.7,0,13,272.3,1015.1,1.1,15.6,7,0.04,4010.142857,-72,68.1595645,0.5,16.3411965
2018-01-19 00:00:00,3993,4,2018,FALSE,15.1,0,16.6,276.4,1016,0.8,15.6,7,0.08,3975.857143,24,76.50500421,0.5,14.0668433
2018-01-20 00:00:00,3825,5,2018,TRUE,13.5,0,20.5,273.9,1015.1,1.2,16.2,7,0.11,3956.714286,-168,68.97327743,0.5,12.25984379
2018-01-21 00:00:00,3908,6,2018,TRUE,14.3,0,13,279.6,1014.4,2.4,16.3,7,0.14,3949.285714,83,57.81855244,0.5,13.41514664
2018-01-22 00:00:00,4024,0,2018,FALSE,15.4,0,11.2,134.7,1013,1.5,16.3,7,0.18,3952.857143,116,61.76792693,0.5,14.94322663
